Key,Translation
ph:control,Control
ph:control_required,Control requerido
ph:controlequipment,Equipo
ph:controlmacro,Macro
ph:controlnothing,Nada
ph:current_reading,Lectura Actual
ph:hysteresis,
ph:lower_function,Inferior Función
ph:lower_function_required,Función requerido
ph:lower_threshold,Límite Inferior
ph:lower_threshold_less_than,Límite Inferior debe ser menos que Límite Superior
ph:lower_threshold_required,Límite Inferior requerido
ph:lower_threshold_type,Límite Inferior debe ser un nùmero
ph:midpoint,Punto Medio
ph:name_required,Nombre requerido
ph:period_min,Revsión de Frecuencia debe ser mayor o igual a 1 segundo
ph:period_required,Revsión de Frecuencia requerido
ph:period_type,Revsión de Frecuencia debe ser un nùmero
ph:run_calibration,Correr
ph:second_point,Segundo Punto
ph:status_required,Estatus requerido
ph:threshold_greater_than,Alerta Superior debe ser mayor a Alerta Inferior
ph:threshold_less_than,Alerta Inferior debe ser menor a Alerta Superior
ph:threshold_required,Límites son requeridos cuando las alertas estan activadas
ph:threshold_type,Límite debe ser un nùmero
ph:upper_function,Superior Función
ph:upper_function_required,Superior Función requerido
ph:upper_threshold,Límite Superior
ph:upper_threshold_greater_than,Límite Superior debe ser mayor Límite Inferior
ph:upper_threshold_required,Límite Superior requerido
ph:upper_threshold_type,Límite Superior debe ser un nùmero
ph:validation_error,Los ajustes de Ph no puede ser guardada por errores de validación. Corija los errores y intente de nuevo.
ph:warn_delete,Esta acción sera eliminada
signin:invalidcredentials,Usuario o Contraseña Incorrectos
signin:password,Contraseña
signin:signin,Iniciar Sesion
signin:username,Usuario
telemetry:main:current-limit,Límite actual
telemetry:main:email-alerts,Alertas por email
telemetry:main:historical-limit,Límite del histórico
telemetry:main:limit-per-hour,Límite por hora
telemetry:main:send-test-message,Enviar mensaje de prueba
telemetry:notification:from,Desde
telemetry:notification:password,Contraseña
telemetry:notification:port,Puerto
telemetry:notification:server,Servidor
telemetry:notification:to,Para
telemetry:notification:username,Usuario
temperature:alert_above,Alerta Sobre
temperature:alert_below,Alerta Bajo
temperature:calibrate,Calibración
temperature:calibration:apply,Aplicar
temperature:calibration:set_temperature,Configurar Temperatura
temperature:celsius,Celsius
temperature:chart:current,Temperatura(ultima)
temperature:chart:down,Enfriador
temperature:chart:historical,Temperatura(Historico)
temperature:chart:up,Calentador
temperature:chart_color,Color
temperature:chart_ymax,
temperature:chart_ymin,
temperature:check_frequency,Revisar Frecuencia
temperature:control,Control
temperature:controlequipment,Equipo
temperature:controlmacro,Macro
temperature:controlnothing,Nada
temperature:current_reading,Lectura Actual
temperature:fahrenheit,Fahrenheit
temperature:heater_cooler,Calentador/Enfriador
temperature:hysteresis,Histéresis
temperature:hysteresis_less_than,Histéresis es menor que límite aceptable
temperature:lower_function,Calentador
temperature:lower_threshold,Límite de Calentador
temperature:sensor,Sensor
temperature:temperature,Temperatura
temperature:unit,Unidad
temperature:upper_function,Enfriador
temperature:upper_threshold,Límite de Enfriador
temperature:validation_error,Los ajustes no se pueden guardar debido a errores de validación. Corrija los errores e inténtelo de nuevo.
temperature:warn_delete,Esta accion ser à eliminada
timers:after,Despues
timers:and_then,Luego
timers:day_required,Coloca un dia
timers:duration_required,Duracion es requerido
timers:equipment,Equipo
timers:equipment:off,Apagado
timers:equipment:on,Encendido
timers:equipment:revert,Revertir
timers:equipment_action,Acción
timers:equipment_required,Selecciona un Equipo
timers:function,Funcion
timers:hour_required,Coloca una hora
timers:macro,Nombre del Macro
timers:macros,Macros
timers:message,Mensaje
timers:message_required,Escribe un Mensaje
timers:minute_required,Coloca los minutos
timers:name_required,Coloca un Nombre
timers:on_required,Encendido es requerido
timers:reminder,Recordatorio
timers:sec,seg
timers:second_required,Coloca los segundos
timers:stay_off,Mantener Apagado
timers:stay_on,Mantener Encendido
timers:subject,Asunto
timers:subject_required,Escribe un Asunto
timers:timer_status_required,el estado del Cronometro es requerido
timers:turn_back_off,Regresar a Apagado
timers:turn_back_on,Regresar a Encendido
timers:turn_off,Apagar
timers:turn_on,Encender
timers:type_required,Selecciona un tipo
timers:validation_error,La configuración no se puede guardar debido a errores de validación. Corrija los errores e inténtelo de nuevo.
