Key,Translation
timers:day_required,Day is required
timers:duration_required,Duration is required
timers:equipment,Equipment
timers:equipment:action,Action
timers:equipment:equipment,Equipment
timers:equipment:off,Off
timers:equipment:on,On
timers:equipment:revert,Revert
timers:equipment_required,Equipment is required
timers:function,Function
timers:hour_required,Hour is required
timers:macro,Macro Name
timers:macros,Macros
timers:message,Message
timers:message_required,Message is required
timers:minute_required,Minute is required
timers:name_required,Name is required
timers:on_required,On is required
timers:reminder,Reminder
timers:sec,sec
timers:second_required,Second is required
timers:stay_off,Stay off
timers:stay_on,Stay on
timers:subject,Subject
timers:subject_required,Subject is required
timers:timer_status,Timer Status
timers:timer_status_required,Timer Status is required
timers:turn_back_off,Turn back off
timers:turn_back_on,Turn back on
timers:turn_off,Turn Off
timers:turn_on,Turn On
timers:type_required,Type is required
timers:validation_error,The Timer settings cannot be saved due to validation errors.  Please correct the errors and try again.
