Key,Translation
ph:validation_error,PH值设置因为验证错误而无法存储，请纠正错误后重试。
ph:status,PH状态
ph:check_frequency,检查频率
ph:alert_below,告警下限
ph:alert_above,告警上限
ph:warn_delete,这个动作将会被删除
ph:name_required,必须填写名字
ph:status_required,必须填写状态
ph:period_required,必须填写检查频率
ph:period_type,检查频率必须是一个数字
ph:period_min,检查频率必须大于或等于1
ph:threshold_required,当启用告警时必须填写阈值
ph:threshold_type,阈值必须是一个数字
ph:threshold_less_than,告警下限必须小于告警上限
ph:threshold_greater_than,告警上限必须大于告警下限
ph:analog_input_required,必须填写模拟输入
inlets,进水口
outlets,分店
pin,销
driver,司机
reverse,相反
jacks,千斤顶
analog_inputs,模拟输入
in-use,正在使用
language:pt,
language:zh,
cron:month,
cron:week,
timers:macros,
timers:macro,
ph:control,
ph:controlnothing,
ph:controlmacro,
ph:controlequipment,
ph:lower_threshold,
ph:lower_function,
ph:upper_threshold,
ph:upper_function,
ph:control_required,
ph:lower_threshold_required,
ph:lower_threshold_type,
ph:lower_threshold_less_than,
ph:lower_function_required,
ph:upper_threshold_required,
ph:upper_threshold_type,
ph:upper_threshold_greater_than,
ph:upper_function_required,
temperature:control,
temperatur:controlnothing,
temperature:controlmacro,
temperature:controlequipment,
temperature:lower_threshold,
temperature:lower_function,
temperature:upper_threshold,
temperature:upper_function,
temperature:calibrate,
temperature:calibration:set_temperature,
temperature:calibration:apply,
temperature:current_reading,
temperature:warn_delete,
outlet,
jack,
pins:Pins,
health,
doser,
equipment,
ato,
light,
temperature:chart:current,
temperature:chart:historical,
ph:chart:current,
ph:chart:historical,
