Key,Translation
configuration:drivers:type,
configuration:drivers:warn_delete,
configuration:settings:address,
configuration:settings:alert_health_check,
configuration:settings:capabilities,
configuration:settings:capabilities_required,
configuration:settings:cors,
configuration:settings:display,
configuration:settings:interface,
configuration:settings:max_cpu,
configuration:settings:max_memory,
configuration:settings:name,
configuration:settings:name_required,
configuration:settings:network_address_required,
configuration:settings:network_interface_required,
configuration:settings:notification,
configuration:settings:pprof,
configuration:settings:prometheus,
configuration:settings:rpi_pwm_freq,
configuration:settings:use_https,
configuration:tab:about,پیکربندی:برگه: در باره
configuration:tab:admin,پیکربندی:برگه: مدیر
configuration:tab:authentication,پیکربندی:برگه:
configuration:tab:connectors,پیکربندی:برگه: مرتبط ها
configuration:tab:drivers,پیکربندی:برگه: احراز هویت
configuration:tab:errors,پیکربندی:برگه: خطاها
configuration:tab:settings,پیکربندی:برگه: تنظیمات
configuration:tab:telemetry,پیکربندی:برگه: تله متری
cron:day_of_month,
cron:hour,
cron:minute,
cron:month,
cron:second,
cron:week,
dashboard:back_to_dashboard,
dashboard:blank_panel,
doser:calibrate,
doser:calibration:run,
doser:doser_usage,
doser:duration,
doser:speed,
doser:title_delete,
doser:warn_delete,
doser:warn_reset,
equipment:chart:barchart,
equipment:chart:ctrlpanel,
equipment:title_delete,
equipment:warn_delete,
fatal_error:connection_lost,
fatal_error:fatal_error,
fatal_error:message,
fatal_error:troubleshoot,
health_chart:cpu_memory,
instances:warn_delete,
journal:add_entry,
journal:comment,
journal:description,
journal:timestamp,
journal:title_delete,
journal:unit,واحد
journal:value,
journal:warn_delete,
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Language
language:nl,Nederlands
language:pt,Portuguesa
language:zh,中文
lighting:add_point,
lighting:change_mode,
lighting:channel_name,
lighting:chart_color,
lighting:mode_auto,
lighting:mode_manual,
lighting:mode_mixed,
lighting:remove,
lighting:title_delete,
lighting:warn_change,
lighting:warn_delete,
log:content,
log:emitter,
log:time,
log:type,
macro:alert:message,
macro:alert:title,
macro:reversible,
macro:revert,
macro:reverting,
macro:run,
macro:running,
macro:steps,
macro:turn_off,
macro:turn_on,
macro:wait:duration,
macro:warn_delete,
ph:alert_above,
ph:alert_below,
ph:calibrate,
ph:chart:current,
ph:chart:historical,
ph:chart:usage,
ph:chart_color,
ph:chart_unit,
ph:chart_ymax,
ph:chart_ymin,
ph:check_frequency,
ph:control,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,
ph:hysteresis,
ph:hysteresis_less_than,
ph:lower_function,
ph:lower_threshold,
ph:midpoint,
ph:run_calibration,
ph:second_point,
ph:upper_function,
ph:upper_threshold,
ph:warn_delete,
ph:warn_reset,
signin:invalidcredentials,
signin:password,
signin:signin,
signin:username,
telemetry:main:current-limit,
telemetry:main:email-alerts,
telemetry:main:historical-limit,
telemetry:main:limit-per-hour,
telemetry:main:send-test-message,
telemetry:notification:from,
telemetry:notification:password,
telemetry:notification:port,
telemetry:notification:server,
telemetry:notification:to,
telemetry:notification:username,
temperature:alert_above,
temperature:alert_below,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celsius,
temperature:chart:current,
temperature:chart:down,
temperature:chart:historical,
temperature:chart:up,
temperature:chart_color,
temperature:chart_ymax,
temperature:chart_ymin,
temperature:check_frequency,
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:controlnothing,
temperature:current_reading,
temperature:fahrenheit,
temperature:heater_cooler,
temperature:hysteresis,
temperature:hysteresis_less_than,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,
temperature:temperature,
temperature:unit,واحد
temperature:upper_function,
temperature:upper_threshold,
temperature:warn_delete,
temperature:warn_reset,
timers:after,
timers:and_then,
timers:day_required,
timers:duration_required,
timers:equipment,
timers:equipment:off,
timers:equipment:on,
timers:equipment:revert,
timers:equipment_action,
timers:equipment_required,
timers:function,
timers:hour_required,
timers:macro,
timers:macros,
timers:message,
timers:message_required,
timers:minute_required,
timers:name_required,
timers:on_required,
timers:reminder,
timers:sec,
timers:second_required,
timers:stay_off,
timers:stay_on,
timers:subject,
timers:subject_required,
timers:timer_status_required,
timers:turn_back_off,
timers:turn_back_on,
timers:turn_off,
timers:turn_on,
timers:type_required,
timers:validation_error,
timers:warn_delete,
validation:a_must_be_greater_than_b,
validation:a_must_be_less_than_b,
validation:a_must_differ_from_b,
validation:comma_separated_numbers,
validation:cron_nojoker_required,
validation:cron_required,
validation:date_required,
validation:entry_required,
validation:error,
validation:integer_max_required,
validation:integer_min_required,
validation:last_full_moon_required,
validation:name_required,
validation:number_required,
validation:selection_required,
validation:time_required,
